Time,x,y,z,w
17.21,-2.0120499040024714e-12,7.921387158709124e-13,4.033921745898277e-11,1.0
17.211,7.60224389305387e-13,-2.0230189886006234e-12,4.03392176934039e-11,1.0
17.212,-2.01204989762414e-12,7.921387158769208e-13,4.0339217771698184e-11,1.0
17.213,7.602243887134544e-13,-2.023018989927038e-12,4.033921800611932e-11,1.0
17.214,-2.0120498958779325e-12,7.921387226840061e-13,4.0339218084413614e-11,1.0
17.215,7.60224381887846e-13,-2.023018992783026e-12,4.033921831883475e-11,1.0
17.216,-2.0120498918650063e-12,7.921387127396133e-13,4.033921839712904e-11,1.0
17.217,7.602244011058984e-13,-2.0230189891269453e-12,4.0339218631550175e-11,1.0
17.218,-2.012049896231913e-12,7.921387170891851e-13,4.0339218709844475e-11,1.0
17.219,7.602243804478013e-13,-2.0230190003136374e-12,4.033921894426562e-11,1.0
17.22,-2.0120498986964143e-12,7.921387215609679e-13,4.033921902255991e-11,1.0
17.221,7.602243978082596e-13,-2.0230189807540814e-12,4.033921925698105e-11,1.0
17.222,-2.0120498971021355e-12,7.921387296604151e-13,4.033921933527536e-11,1.0
17.223,7.602243899651096e-13,-2.0230189834718996e-12,4.033921956969649e-11,1.0
17.224,-2.0120498958876385e-12,7.921387215144491e-13,4.0339219647990785e-11,1.0
17.225,7.602243898165527e-13,-2.023018990724019e-12,4.0339219882411916e-11,1.0
17.226,-2.0120498979746136e-12,7.921387274867226e-13,4.033921996070623e-11,1.0
17.227,7.602243829594379e-13,-2.023018994449997e-12,4.0339220195127365e-11,1.0
17.228,-2.0120498898810677e-12,7.921387266191216e-13,4.0339220273421665e-11,1.0
17.229,7.602243863779274e-13,-2.023018994190605e-12,4.0339220507842796e-11,1.0
17.23,-2.0120498977053784e-12,7.921387238563513e-13,4.0339220586137095e-11,1.0
17.231,7.602244062784793e-13,-2.023018990320008e-12,4.0339220820558226e-11,1.0
17.232,-2.0120498972327553e-12,7.921387203838002e-13,4.0339220898852525e-11,1.0
17.233,7.602243986142151e-13,-2.0230189903877156e-12,4.033922113327366e-11,1.0
17.234,-2.0120498933036826e-12,7.921387274094959e-13,4.033922121156796e-11,1.0
17.235,7.602243907486362e-13,-2.023018985148652e-12,4.03392214459891e-11,1.0
17.236,-2.0120498920243064e-12,7.921387249658412e-13,4.03392215242834e-11,1.0
17.237,7.602243996165092e-13,-2.0230189875523642e-12,4.033922175870454e-11,1.0
17.238,-2.012049895386781e-12,7.921387320171585e-13,4.033922183699884e-11,1.0
17.239,7.602243938200544e-13,-2.0230189991647324e-12,4.033922207141998e-11,1.0
17.24,-2.012049906981685e-12,7.921387297552323e-13,4.033922214971427e-11,1.0
17.241,7.602243977655116e-13,-2.023018998400941e-12,4.0339222384135416e-11,1.0
17.242,-2.0120498961384116e-12,7.921387362985585e-13,4.0339222462429715e-11,1.0
17.243,7.602243958238235e-13,-2.0230189896290625e-12,4.033922269685085e-11,1.0
17.244,-2.012049888993717e-12,7.921387199502457e-13,4.033922277514514e-11,1.0
17.245,7.602243987543067e-13,-2.0230189932077153e-12,4.033922300956628e-11,1.0
17.246,-2.0120498888457522e-12,7.921387164671226e-13,4.0339223087860576e-11,1.0
17.247,7.602243950734576e-13,-2.0230189961094075e-12,4.033922332228172e-11,1.0
17.248,-2.0120498961792253e-12,7.921387292402114e-13,4.033922340057602e-11,1.0
17.249,7.602243877763319e-13,-2.023018996516177e-12,4.0339223634997156e-11,1.0
17.25,-2.012049896134925e-12,7.92138721982992e-13,4.033922371329146e-11,1.0
17.251,7.602243907346957e-13,-2.0230189942408784e-12,4.033922394771259e-11,1.0
17.252,-2.0120499009972305e-12,7.921387265002887e-13,4.0339224026006886e-11,1.0
17.253,7.60224393435085e-13,-2.0230189997425867e-12,4.033922426042802e-11,1.0
17.254,-2.01204989461975e-12,7.921387278034225e-13,4.033922433872232e-11,1.0
17.255,7.602243942699639e-13,-2.023018999501419e-12,4.0339224573143466e-11,1.0
17.256,-2.0120499029204682e-12,7.921387283052271e-13,4.033922465143775e-11,1.0
17.257,7.602243856701225e-13,-2.023018985186843e-12,4.0339224885858884e-11,1.0
17.258,-2.012049904079979e-12,7.921387225067593e-13,4.0339224964153176e-11,1.0
