Time,phi,theta,psi
17.211,1.5204487784475599e-12,-4.0460967909439205e-12,8.067843538680472e-11
17.212,-4.024099795184371e-12,1.5842882561400984e-12,8.067843554339318e-11
17.213,1.5204487772636948e-12,-4.0460967909439205e-12,8.067843601223557e-11
17.214,-4.024099791691956e-12,1.5842882561400984e-12,8.067843616882404e-11
17.215,1.5204487636124779e-12,-4.0460967909439205e-12,8.067843663766643e-11
17.216,-4.024099783666104e-12,1.5842882561400984e-12,8.067843679425488e-11
17.217,1.5204488020485826e-12,-4.0460967909439205e-12,8.067843726309727e-11
17.218,-4.024099792399917e-12,1.5842882561400984e-12,8.067843741968576e-11
17.219,1.5204487607323885e-12,-4.0460967909439205e-12,8.067843788852816e-11
17.22,-4.02409979732892e-12,1.5842882561400984e-12,8.067843804511663e-11
17.221,1.5204487954533052e-12,-4.0460967909439205e-12,8.067843851395902e-11
17.222,-4.0240997941403625e-12,1.5842882561400984e-12,8.067843867054753e-11
17.223,1.520448779767005e-12,-4.0460967909439205e-12,8.067843913938991e-11
17.224,-4.0240997917113684e-12,1.5842882561400984e-12,8.067843929597838e-11
17.225,1.5204487794698913e-12,-4.0460967909439205e-12,8.067843976482076e-11
17.226,-4.0240997958853186e-12,1.5842882561400984e-12,8.067843992140926e-11
17.227,1.5204487657556617e-12,-4.0460967909439205e-12,8.067844039025165e-11
17.228,-4.024099779698227e-12,1.5842882561400984e-12,8.067844054684014e-11
17.229,1.5204487725926406e-12,-4.0460967909439205e-12,8.067844101568252e-11
17.23,-4.024099795346848e-12,1.5842882561400984e-12,8.0678441172271e-11
17.231,1.5204488123937444e-12,-4.0460967909439205e-12,8.067844164111338e-11
17.232,-4.024099794401602e-12,1.5842882561400984e-12,8.067844179770186e-11
17.233,1.520448797065216e-12,-4.0460967909439205e-12,8.067844226654425e-11
17.234,-4.0240997865434566e-12,1.5842882561400984e-12,8.067844242313273e-11
17.235,1.5204487813340583e-12,-4.0460967909439205e-12,8.067844289197512e-11
17.236,-4.024099783984704e-12,1.5842882561400984e-12,8.06784430485636e-11
17.237,1.5204487990698043e-12,-4.0460967909439205e-12,8.067844351740601e-11
17.238,-4.0240997907096535e-12,1.5842882561400984e-12,8.067844367399449e-11
17.239,1.5204487874768946e-12,-4.0460967909439205e-12,8.067844414283688e-11
17.24,-4.024099813899462e-12,1.5842882561400984e-12,8.067844429942535e-11
17.241,1.5204487953678091e-12,-4.0460967909439205e-12,8.067844476826776e-11
17.242,-4.0240997922129145e-12,1.5842882561400984e-12,8.067844492485624e-11
17.243,1.5204487914844328e-12,-4.0460967909439205e-12,8.067844539369863e-11
17.244,-4.024099777923525e-12,1.5842882561400984e-12,8.067844555028709e-11
17.245,1.5204487973453993e-12,-4.0460967909439205e-12,8.067844601912949e-11
17.246,-4.024099777627596e-12,1.5842882561400984e-12,8.067844617571796e-11
17.247,1.520448789983701e-12,-4.0460967909439205e-12,8.067844664456036e-11
