Time,x,y,z
17.211,5.529139435440941e-09,-5.589767989455776e-09,4.688498824927707e-16
17.212,-5.504346234422427e-09,5.614561185203659e-09,1.565812505937676e-16
17.213,5.529139430851882e-09,-5.589767984864012e-09,4.68849883593614e-16
17.214,-5.504346238448439e-09,5.614561201544552e-09,1.5658122899733257e-16
17.215,5.529139404126172e-09,-5.5897680148405686e-09,4.688499072239827e-16
17.216,-5.50434619682262e-09,5.614561194911798e-09,1.5658125849201706e-16
17.217,5.529139434982858e-09,-5.589767971058917e-09,4.688498591947232e-16
17.218,-5.504346261629786e-09,5.614561179727419e-09,1.5658122776796394e-16
17.219,5.5291394058860245e-09,-5.589768015167027e-09,4.688498992248635e-16
17.22,-5.5043461942300905e-09,5.614561197557844e-09,1.5658125713121528e-16
17.221,5.529139450930096e-09,-5.589767986105986e-09,4.688498894382577e-16
17.222,-5.504346244995185e-09,5.614561165783283e-09,1.565812504248427e-16
17.223,5.529139443417351e-09,-5.589767991052172e-09,4.68849852627042e-16
17.224,-5.504346227981749e-09,5.614561171029022e-09,1.565812268051036e-16
17.225,5.529139423388116e-09,-5.589768006972517e-09,4.688498937469616e-16
17.226,-5.504346239607537e-09,5.61456117926326e-09,1.5658124286125047e-16
17.227,5.52913941733813e-09,-5.589768026105299e-09,4.688499023038598e-16
17.228,-5.504346209162792e-09,5.614561191682661e-09,1.565812283770536e-16
17.229,5.52913941195967e-09,-5.589768013233626e-09,4.68849879410939e-16
17.23,-5.504346221439312e-09,5.614561192601533e-09,1.5658123571770013e-16
17.231,5.529139455378685e-09,-5.589768016896268e-09,4.688499156770105e-16
17.232,-5.504346266597019e-09,5.614561177130448e-09,1.5658122897053592e-16
17.233,5.5291394442660105e-09,-5.589767999531954e-09,4.688498889614743e-16
17.234,-5.504346245737304e-09,5.614561199587342e-09,1.5658123064648507e-16
17.235,5.529139436417104e-09,-5.589768003660506e-09,4.688499001756524e-16
17.236,-5.504346231761123e-09,5.614561176163955e-09,1.5658123259456004e-16
17.237,5.529139424152517e-09,-5.589767997324766e-09,4.688498911048935e-16
17.238,-5.504346233714416e-09,5.614561202216271e-09,1.5658127106499318e-16
17.239,5.529139422830341e-09,-5.5897680467320456e-09,4.688499096140151e-16
17.24,-5.504346244779244e-09,5.614561214718984e-09,1.565812414294926e-16
17.241,5.529139458409971e-09,-5.589768022504585e-09,4.688498889134811e-16
17.242,-5.504346242974506e-09,5.614561219947636e-09,1.5658124311372735e-16
17.243,5.529139440632165e-09,-5.5897680198765384e-09,4.688498842757841e-16
17.244,-5.504346221025968e-09,5.614561195280923e-09,1.5658125869432374e-16
17.245,5.529139416341133e-09,-5.589767995323285e-09,4.688499056827074e-16
17.246,-5.504346222804356e-09,5.6145611856176875e-09,1.5658123000377647e-16
17.247,5.529139416850171e-09,-5.589768005162985e-09,4.688498948277756e-16
17.248,-5.5043462314403165e-09,5.614561200939495e-09,1.5658125219393596e-16
17.249,5.529139408779022e-09,-5.5897680194670964e-09,4.688498831514583e-16
17.25,-5.504346231876896e-09,5.61456118882635e-09,1.5658123147970572e-16
17.251,5.529139422962716e-09,-5.5897680094863906e-09,4.688498760638333e-16
17.252,-5.504346226332297e-09,5.614561201212761e-09,1.5658126498575657e-16
17.253,5.529139451724604e-09,-5.589768024501675e-09,4.68849885462709e-16
17.254,-5.504346227499012e-09,5.614561211516281e-09,1.565812430694267e-16
17.255,5.529139416321522e-09,-5.589768016288814e-09,4.688498803737477e-16
