Time,x,y,z
17.211,-2.7948967160261018e-11,-2.764548181047774e-11,5.6624053100060285e-11
17.212,2.807286606396267e-11,2.752165968269463e-11,5.7057910952483046e-11
17.213,-2.794896713729869e-11,-2.7645481787522522e-11,5.6624054876417125e-11
17.214,2.807286614567638e-11,2.7521659702819804e-11,5.7057910952483046e-11
17.215,-2.7948967287169446e-11,-2.7645481653893588e-11,5.662405483478376e-11
17.216,2.8072866112508066e-11,2.7521659494704962e-11,5.7057910952483046e-11
17.217,-2.7948967068285824e-11,-2.76454818081773e-11,5.66240547931504e-11
17.218,2.8072866036584802e-11,2.7521659818721328e-11,5.705790739976937e-11
17.219,-2.794896728880897e-11,-2.764548166270531e-11,5.66240566111406e-11
17.22,2.807286612574487e-11,2.7521659481745756e-11,5.705790913449284e-11
17.221,-2.7948967143503347e-11,-2.7645481887908748e-11,5.6624054876417125e-11
17.222,2.80728659668732e-11,2.7521659735568764e-11,5.705790913449284e-11
17.223,-2.7948967168254116e-11,-2.7645481850346735e-11,5.662405136533681e-11
17.224,2.8072865993109327e-11,2.7521659650492876e-11,5.705790913449284e-11
17.225,-2.794896724783688e-11,-2.7645481750206647e-11,5.6624054876417125e-11
17.226,2.807286603427446e-11,2.7521659708627414e-11,5.7057909176126207e-11
17.227,-2.7948967343497706e-11,-2.7645481719961744e-11,5.6624053100060285e-11
17.228,2.807286609638099e-11,2.752165955640147e-11,5.7057909176126207e-11
17.229,-2.794896727914874e-11,-2.7645481693061417e-11,5.662405483478376e-11
17.23,2.807286610096644e-11,2.752165961778145e-11,5.705791091084968e-11
17.231,-2.7948967297442926e-11,-2.76454819101567e-11,5.662405483478376e-11
17.232,2.807286602361779e-11,2.7521659843571358e-11,5.705790744140273e-11
17.233,-2.794896721063575e-11,-2.764548185459441e-11,5.662405483478376e-11
17.234,2.8072866135895978e-11,2.7521659739269234e-11,5.705790739976937e-11
17.235,-2.794896723127158e-11,-2.7645481815345414e-11,5.6624054876417125e-11
17.236,2.8072866018773536e-11,2.752165966938488e-11,5.705791091084968e-11
17.237,-2.794896719960023e-11,-2.76454817540321e-11,5.662405305842692e-11
17.238,2.8072866149030546e-11,2.7521659679171745e-11,5.7057909176126207e-11
17.239,-2.7948967446627482e-11,-2.7645481747421814e-11,5.6624053100060285e-11
17.24,2.807286621154878e-11,2.7521659734481512e-11,5.705790739976937e-11
17.241,-2.7948967325498953e-11,-2.7645481925314734e-11,5.6624051323703445e-11
17.242,2.8072866237697044e-11,2.752165972546284e-11,5.705790744140273e-11
17.243,-2.794896731236149e-11,-2.7645481836425104e-11,5.6624051323703445e-11
17.244,2.8072866114354333e-11,2.7521659615722365e-11,5.705790921775957e-11
17.245,-2.794896718958638e-11,-2.7645481714977464e-11,5.662405483478376e-11
17.246,2.807286606605156e-11,2.7521659624606026e-11,5.705790744140273e-11
17.247,-2.7948967238791064e-11,-2.7645481717524948e-11,5.662405656950724e-11
17.248,2.8072866142652492e-11,2.7521659667793927e-11,5.705790744140273e-11
17.249,-2.794896731031781e-11,-2.764548167716957e-11,5.662405305842692e-11
17.25,2.8072866082091523e-11,2.7521659669967706e-11,5.7057909176126207e-11
17.251,-2.7948967260416202e-11,-2.764548174808175e-11,5.6624053100060285e-11
17.252,2.8072866144023286e-11,2.7521659642265453e-11,5.7057909176126207e-11
17.253,-2.7948967335483747e-11,-2.7645481891878853e-11,5.662405491805049e-11
17.254,2.807286619554268e-11,2.7521659648086375e-11,5.705790739976937e-11
17.255,-2.7948967294428085e-11,-2.764548171488376e-11,5.662405305842692e-11
17.256,2.8072866179954538e-11,2.7521659691974924e-11,5.705790566504589e-11
17.257,-2.794896726536923e-11,-2.7645481794555884e-11,5.662405136533681e-11
17.258,2.8072865988698e-11,2.752165970141378e-11,5.705791091084968e-11
17.259,-2.794896717810483e-11,-2.7645481817074092e-11,5.6624053100060285e-11
17.26,2.807286610987223e-11,2.752165963441489e-11,5.7057910952483046e-11
17.261,-2.794896719347979e-11,-2.764548182679106e-11,5.662405314169365e-11
17.262,2.8072865996303536e-11,2.752165963024334e-11,5.705790913449284e-11
17.263,-2.794896719674038e-11,-2.7645481765475186e-11,5.662405483478376e-11
17.264,2.8072866166321955e-11,2.7521659659026407e-11,5.705790744140273e-11
17.265,-2.7948967312598994e-11,-2.7645481793698847e-11,5.662405483478376e-11
17.266,2.8072866177278066e-11,2.752165971077126e-11,5.705790566504589e-11
17.267,-2.7948967441757612e-11,-2.7645481764761562e-11,5.662405483478376e-11
17.268,2.8072866272472234e-11,2.7521659612521512e-11,5.7057907483036095e-11
17.269,-2.7948967330838766e-11,-2.764548174131536e-11,5.66240547931504e-11
17.27,2.807286636800521e-11,2.7521659694423094e-11,5.705790388868905e-11
17.271,-2.794896729113278e-11,-2.764548175767159e-11,5.6624053100060285e-11
17.272,2.807286607664229e-11,2.7521659648722167e-11,5.7057909176126207e-11
17.273,-2.7948967240783173e-11,-2.7645481803177536e-11,5.6624053100060285e-11
17.274,2.8072866095577592e-11,2.7521659665890533e-11,5.7057909176126207e-11
17.275,-2.7948967201262448e-11,-2.764548174512388e-11,5.662405305842692e-11
17.276,2.807286618388853e-11,2.752165982727422e-11,5.7057909176126207e-11
17.277,-2.794896741663655e-11,-2.764548176014207e-11,5.6624051323703445e-11
17.278,2.8072866067269662e-11,2.7521659603939203e-11,5.705791091084968e-11
17.279,-2.7948967140835793e-11,-2.7645481928825133e-11,5.6624053100060285e-11
17.28,2.807286612805092e-11,2.7521659644274856e-11,5.705790913449284e-11
17.281,-2.794896716770616e-11,-2.7645481818400606e-11,5.6624053100060285e-11
17.282,2.8072865999746417e-11,2.7521659582953786e-11,5.7057909176126207e-11
17.283,-2.794896710538371e-11,-2.7645481690951254e-11,5.662405483478376e-11
17.284,2.8072866103932323e-11,2.752165959113256e-11,5.705791091084968e-11
17.285,-2.794896737346589e-11,-2.7645481823432604e-11,5.6624053100060285e-11
17.286,2.8072866123509542e-11,2.7521659519617807e-11,5.7057909176126207e-11
17.287,-2.794896709557172e-11,-2.7645481678429393e-11,5.66240547931504e-11
17.288,2.807286608304154e-11,2.752165975793852e-11,5.705790921775957e-11
17.289,-2.794896714849073e-11,-2.7645481818560665e-11,5.6624051323703445e-11
17.29,2.807286610874561e-11,2.7521659664992318e-11,5.705790921775957e-11
17.291,-2.794896705245289e-11,-2.764548173621967e-11,5.662405483478376e-11
17.292,2.80728660415787e-11,2.7521659599942654e-11,5.705791086921632e-11
17.293,-2.7948967176469054e-11,-2.7645481732260162e-11,5.662405483478376e-11
17.294,2.807286610063823e-11,2.7521659580699744e-11,5.705790744140273e-11
17.295,-2.7948967098945402e-11,-2.7645481623905654e-11,5.66240547931504e-11
17.296,2.8072866168029463e-11,2.7521659637258348e-11,5.705791091084968e-11
17.297,-2.7948967402607127e-11,-2.7645481825834297e-11,5.6624053100060285e-11
17.298000000000002,2.8072866082143093e-11,2.752165962952837e-11,5.7057909176126207e-11
17.299,-2.7948967214977232e-11,-2.7645481746043628e-11,5.662405483478376e-11
17.3,2.807286612824895e-11,2.7521659796022458e-11,5.7057909176126207e-11
17.301,-2.7948967243672593e-11,-2.764548186565035e-11,5.6624053100060285e-11
17.302,2.8072865966455112e-11,2.752165974860358e-11,5.7057910952483046e-11
17.303,-2.794896718505798e-11,-2.764548187219224e-11,5.6624053100060285e-11
17.304,2.8072866087238448e-11,2.7521659662227906e-11,5.7057909176126207e-11
17.305,-2.7948967187306205e-11,-2.7645481821549786e-11,5.6624054876417125e-11
17.306,2.8072866009168496e-11,2.7521659598111095e-11,5.705791091084968e-11
17.307,-2.7948967103944856e-11,-2.7645481686443688e-11,5.66240566111406e-11
17.308,2.8072866154698723e-11,2.752165954886725e-11,5.7057910952483046e-11
17.309,-2.7948967230731947e-11,-2.7645481814291845e-11,5.6624054876417125e-11
17.31,2.8072866053863106e-11,2.7521659625953658e-11,5.7057909176126207e-11
17.311,-2.7948967314251443e-11,-2.764548180607962e-11,5.6624053100060285e-11
17.312,2.8072866153295386e-11,2.7521659613594443e-11,5.705790566504589e-11
17.313,-2.7948967382987515e-11,-2.764548180684616e-11,5.662405305842692e-11
17.314,2.8072866213881532e-11,2.752165969699648e-11,5.705790566504589e-11
17.315,-2.7948967340720705e-11,-2.764548172920179e-11,5.6624053100060285e-11
17.316,2.807286615542809e-11,2.7521659514139597e-11,5.705790913449284e-11
17.317,-2.7948967307753344e-11,-2.764548177359156e-11,5.6624053100060285e-11
17.318,2.8072866084590617e-11,2.7521659751566463e-11,5.705790566504589e-11
17.319,-2.79489672450217e-11,-2.7645481843958134e-11,5.6624053100060285e-11
17.32,2.8072866201967934e-11,2.752165962162572e-11,5.705790739976937e-11
17.321,-2.7948967392945813e-11,-2.764548171557849e-11,5.662405483478376e-11
17.322,2.80728662197548e-11,2.7521659799786672e-11,5.705790744140273e-11
17.323,-2.7948967182398982e-11,-2.7645481789131466e-11,5.662405136533681e-11
17.324,2.8072866038142668e-11,2.7521659640920328e-11,5.7057909176126207e-11
17.325,-2.7948967399830127e-11,-2.7645481828817937e-11,5.6624053100060285e-11
17.326,2.8072866201202817e-11,2.7521659717058633e-11,5.7057905706679255e-11
17.327,-2.794896726678994e-11,-2.7645481704572824e-11,5.662405656950724e-11
17.328,2.8072866190500625e-11,2.7521659656742355e-11,5.705790574831262e-11
17.329,-2.794896717885733e-11,-2.764548176983696e-11,5.662405483478376e-11
17.33,2.8072866083253195e-11,2.752165966321618e-11,5.7057909176126207e-11
17.331,-2.7948967204109914e-11,-2.7645481840538466e-11,5.6624054876417125e-11
